====================================================================================================
AAAI 2023 论文统计分析汇总报告
====================================================================================================

【一、论文类别统计】
====================================================================================================
总论文数: 1578
总类别数: 21

排名     类别                                                 数量         占比        
----------------------------------------------------------------------------------------------------
1      speech natural language processing                 173         10.96%
2      computer vision i                                  139          8.81%
3      computer vision iii                                139          8.81%
4      computer vision ii                                 138          8.75%
5      machine learning ii                                138          8.75%
6      machine learning i                                 137          8.68%
7      machine learning iii                               137          8.68%
8      machine learning iv                                135          8.56%
9      data mining and knowledge management               96           6.08%
10     game theory and economic paradigms                 55           3.49%
11     domain s of application                            52           3.30%
12     knowledge representation and reasoning             48           3.04%
13     multiagent systems                                 31           1.96%
14     constraint satisfaction and optimization           27           1.71%
15     humans and ai                                      26           1.65%
16     planning routing and scheduling                    26           1.65%
17     search and optimization                            22           1.39%
18     reasoning under uncertainty                        19           1.20%
19     cognitive modeling cognitive systems               17           1.08%
20     philosophy and ethics of ai                        16           1.01%
21     intelligent robotics                               7            0.44%


【二、论文机构统计】
====================================================================================================
统计模式: 所有机构
总论文数: 1578
总机构数: 1040

排名     机构名称                                                                   论文数        占比        
----------------------------------------------------------------------------------------------------
1      Tsinghua University                                                    82           5.20%
2      Chinese Academy of Sciences                                            63           3.99%
3      Peking University                                                      62           3.93%
4      Zhejiang University                                                    62           3.93%
5      Pengcheng Laboratory                                                   57           3.61%
6      Tencent                                                                57           3.61%
7      University of Chinese Academy of Sciences                              56           3.55%
8      Huawei                                                                 54           3.42%
9      Shanghai Jiao Tong University                                          50           3.17%
10     University of Science and Technology of China                          41           2.60%
11     National University of Singapore                                       38           2.41%
12     Microsoft                                                              38           2.41%
13     Harbin Institute of Technology                                         37           2.34%
14     Nanyang Technological University                                       36           2.28%
15     Beihang University                                                     35           2.22%
16     Nanjing University                                                     34           2.15%
17     Fudan University                                                       33           2.09%
18     Sun Yat-sen University                                                 30           1.90%
19     Chinese University of Hong Kong                                        29           1.84%
20     Alibaba Group                                                          28           1.77%
21     Beijing University of Posts and Telecommunications                     27           1.71%
22     Huazhong University of Science and Technology                          26           1.65%
23     Carnegie Mellon University                                             24           1.52%
24     University of Sydney                                                   24           1.52%
25     Renmin University of China                                             22           1.39%
26     East China Normal University                                           21           1.33%
27     Wuhan University                                                       21           1.33%
28     Xi'an Jiao Tong University                                             20           1.27%
29     Baidu                                                                  20           1.27%
30     Beijing Institute of Technology                                        20           1.27%
31     Xiamen University                                                      20           1.27%
32     Southeast University                                                   19           1.20%
33     Massachusetts Institute of Technology                                  19           1.20%
34     University of Electronic Science and Technology of China               19           1.20%
35     Google                                                                 19           1.20%
36     Hong Kong University of Science and Technology                         18           1.14%
37     Nanjing University of Science and Technology                           17           1.08%
38     Shandong University                                                    17           1.08%
39     Tongji University                                                      16           1.01%
40     ETH Zurich                                                             16           1.01%
41     Northeastern University                                                16           1.01%
42     Mohamed bin Zayed University of Artificial Intelligence                15           0.95%
43     University of Oxford                                                   15           0.95%
44     University of Hong Kong                                                15           0.95%
45     Tianjin University                                                     15           0.95%
46     University of Macau                                                    14           0.89%
47     University of Cambridge                                                14           0.89%
48     Shenzhen University                                                    14           0.89%
49     Monash University                                                      14           0.89%
50     University of Illinois Urbana-Champaign                                14           0.89%
51     City University of Hong Kong                                           13           0.82%
52     Ant Group                                                              13           0.82%
53     Harvard University                                                     13           0.82%
54     Singapore Management University                                        13           0.82%
55     Pennsylvania State University                                          13           0.82%
56     Northwestern Polytechnical University                                  13           0.82%
57     Meta                                                                   12           0.76%
58     Shanghai AI Laboratory                                                 12           0.76%
59     Xidian University                                                      12           0.76%
60     KAIST                                                                  12           0.76%
61     National University of Defense Technology                              12           0.76%
62     JD                                                                     12           0.76%
63     Seoul National University                                              12           0.76%
64     University of Southern California                                      12           0.76%
65     University of Notre Dame                                               12           0.76%
66     University of Texas at Austin                                          12           0.76%
67     Shanghai Artificial Intelligence Laboratory                            11           0.70%
68     University of Technology Sydney                                        11           0.70%
69     Columbia University                                                    11           0.70%
70     Amazon                                                                 11           0.70%
71     Beijing Jiao Tong University                                           11           0.70%
72     Nanjing University of Aeronautics and Astronautics                     11           0.70%
73     Hong Kong Polytechnic University                                       11           0.70%
74     IBM                                                                    11           0.70%
75     University of California, Berkeley                                     11           0.70%
76     Samsung                                                                11           0.70%
77     Jilin University                                                       10           0.63%
78     South China University of Technology                                   10           0.63%
79     University of Maryland                                                 10           0.63%
80     Technische Universität Berlin                                          10           0.63%
81     Adobe                                                                  9            0.57%
82     ShanghaiTech University                                                9            0.57%
83     University of Edinburgh                                                9            0.57%
84     Korea University                                                       9            0.57%
85     Australian National University                                         9            0.57%
86     University of Michigan                                                 9            0.57%
87     Southern University of Science and Technology                          9            0.57%
88     Dalian University of Technology                                        8            0.51%
89     Zhejiang Lab                                                           8            0.51%
90     Johns Hopkins University                                               8            0.51%
91     Alan Turing Institute                                                  8            0.51%
92     National Taiwan University                                             8            0.51%
93     University of Surrey                                                   8            0.51%
94     Georgia Institute of Technology                                        8            0.51%
95     University of California, Los Angeles                                  8            0.51%
96     Purdue University                                                      8            0.51%
97     Stanford University                                                    8            0.51%
98     University of Central Florida                                          8            0.51%
99     Rutgers University                                                     8            0.51%
100    Hong Kong Baptist University                                           8            0.51%
101    Zhongguancun Laboratory                                                8            0.51%
102    University of Tokyo                                                    8            0.51%
103    King Abdullah University of Science and Technology                     8            0.51%
104    University of Alberta                                                  8            0.51%
105    Rensselaer Polytechnic Institute                                       8            0.51%
106    Korea Advanced Institute of Science and Technology                     7            0.44%
107    Shanghai University                                                    7            0.44%
108    University of Virginia                                                 7            0.44%
109    Beijing Academy of Artificial Intelligence                             7            0.44%
110    Sichuan University                                                     7            0.44%
111    Hefei University of Technology                                         7            0.44%
112    Sungkyunkwan University                                                7            0.44%
113    Central South University                                               7            0.44%
114    University of Pittsburgh                                               7            0.44%
115    University of Toronto                                                  7            0.44%
116    University College London                                              7            0.44%
117    University of California, San Diego                                    7            0.44%
118    Soochow University                                                     7            0.44%
119    Hefei Comprehensive National Science Center                            6            0.38%
120    SenseTime                                                              6            0.38%
121    Technical University of Munich                                         6            0.38%
122    University of Manchester                                               6            0.38%
123    ByteDance                                                              6            0.38%
124    University of Melbourne                                                6            0.38%
125    University of Warwick                                                  6            0.38%
126    NAVER Corporation                                                      6            0.38%
127    Singapore University of Technology and Design                          6            0.38%
