====================================================================================================
ACL 2025 论文统计分析汇总报告
====================================================================================================

【一、论文类别统计】
====================================================================================================
总论文数: 861
总类别数: 1

排名     类别                                                 数量         占比        
----------------------------------------------------------------------------------------------------
1                                                         861        100.00%


【二、论文机构统计】
====================================================================================================
统计模式: 所有机构
总论文数: 861
总机构数: 638

排名     机构名称                                                                   论文数        占比        
----------------------------------------------------------------------------------------------------
1      Tsinghua University                                                    55           6.39%
2      Carnegie Mellon University                                             44           5.11%
3      Zhejiang University                                                    41           4.76%
4      Microsoft                                                              39           4.53%
5      Chinese Academy of Sciences                                            39           4.53%
6      University of Chinese Academy of Sciences                              37           4.30%
7      Peking University                                                      36           4.18%
8      Tencent                                                                34           3.95%
9      Harbin Institute of Technology                                         33           3.83%
10     Renmin University of China                                             30           3.48%
11     Fudan University                                                       28           3.25%
12     Chinese University of Hong Kong                                        26           3.02%
13     Amazon                                                                 25           2.90%
14     Hong Kong University of Science and Technology                         24           2.79%
15     University of Washington                                               23           2.67%
16     National University of Singapore                                       22           2.56%
17     University of Science and Technology of China                          22           2.56%
18     Google                                                                 21           2.44%
19     Shanghai Jiao Tong University                                          21           2.44%
20     Nanyang Technological University                                       21           2.44%
21     Georgia Institute of Technology                                        20           2.32%
22     Allen Institute for AI                                                 20           2.32%
23     Alibaba Group                                                          20           2.32%
24     Shanghai AI Laboratory                                                 20           2.32%
25     Shanghai Artificial Intelligence Laboratory                            18           2.09%
26     University of Illinois Urbana-Champaign                                17           1.97%
27     Massachusetts Institute of Technology                                  16           1.86%
28     Mohamed bin Zayed University of Artificial Intelligence                15           1.74%
29     ETH Zurich                                                             15           1.74%
30     Beijing University of Posts and Telecommunications                     15           1.74%
31     Hong Kong Polytechnic University                                       14           1.63%
32     Huawei                                                                 14           1.63%
33     Sun Yat-sen University                                                 14           1.63%
34     University of Hong Kong                                                13           1.51%
35     Pengcheng Laboratory                                                   13           1.51%
36     University of Cambridge                                                13           1.51%
37     Stanford University                                                    13           1.51%
38     Meta                                                                   13           1.51%
39     Seoul National University                                              12           1.39%
40     University of Edinburgh                                                11           1.28%
41     Beijing Institute of Technology                                        11           1.28%
42     University of Southern California                                      11           1.28%
43     Beijing Academy of Artificial Intelligence                             10           1.16%
44     Northeastern University                                                10           1.16%
45     University of California, San Diego                                    10           1.16%
46     Nanjing University                                                     10           1.16%
47     Beihang University                                                     10           1.16%
48     IBM                                                                    9            1.05%
49     Soochow University                                                     9            1.05%
50     University of Maryland                                                 9            1.05%
51     University of California, Berkeley                                     9            1.05%
52     ByteDance                                                              9            1.05%
53     Korea Advanced Institute of Science and Technology                     9            1.05%
54     Xi'an Jiao Tong University                                             9            1.05%
55     Baidu                                                                  9            1.05%
56     University of Melbourne                                                8            0.93%
57     Pennsylvania State University                                          8            0.93%
58     University of California, Los Angeles                                  8            0.93%
59     University of Electronic Science and Technology of China               8            0.93%
60     University of Sydney                                                   8            0.93%
61     University of Copenhagen                                               8            0.93%
62     New York University                                                    8            0.93%
63     Virginia Tech                                                          8            0.93%
64     University of Amsterdam                                                8            0.93%
65     Tel Aviv University                                                    7            0.81%
66     Singapore Management University                                        7            0.81%
67     Technical University of Darmstadt                                      7            0.81%
68     Ant Group                                                              7            0.81%
69     University of Pennsylvania                                             7            0.81%
70     Canadian Institute for Advanced Research                               6            0.70%
71     EPFL                                                                   6            0.70%
72     Saarland University                                                    6            0.70%
73     Sichuan University                                                     6            0.70%
74     City University of Hong Kong                                           6            0.70%
75     Wuhan University                                                       6            0.70%
76     University of Michigan                                                 6            0.70%
77     Jiangsu Collaborative Innovation Center for Language Competence        6            0.70%
78     Princeton University                                                   6            0.70%
79     University of California, Santa Barbara                                6            0.70%
80     McGill University                                                      6            0.70%
81     Harvard University                                                     6            0.70%
82     University College London                                              6            0.70%
83     Yale University                                                        6            0.70%
84     Shanghai Collaborative Innovation Center of Intelligent Visual Computing 6            0.70%
85     Shenzhen Institute of Advanced Technology                              6            0.70%
86     University of Texas at Austin                                          6            0.70%
87     University of Wisconsin-Madison                                        6            0.70%
88     Bar-Ilan University                                                    5            0.58%
89     Université de Montréal                                                 5            0.58%
90     University of Notre Dame                                               5            0.58%
91     Yonsei University                                                      5            0.58%
92     Leiden University                                                      5            0.58%
93     Allen Institute for Artificial Intelligence                            5            0.58%
94     Cohere                                                                 5            0.58%
95     University of British Columbia                                         5            0.58%
96     LMU Munich                                                             5            0.58%
97     Munich Center for Machine Learning                                     5            0.58%
98     Huazhong University of Science and Technology                          5            0.58%
99     Westlake University                                                    5            0.58%
100    Apple                                                                  5            0.58%
101    Johns Hopkins University                                               5            0.58%
102    University of Massachusetts Amherst                                    5            0.58%
103    University of North Carolina at Chapel Hill                            5            0.58%
104    Quebec AI Institute                                                    4            0.46%
105    National University of Defense Technology                              4            0.46%
106    NVIDIA                                                                 4            0.46%
107    University of Toronto                                                  4            0.46%
108    Technical University of Munich                                         4            0.46%
109    Zhipu AI                                                               4            0.46%
110    Shenzhen University                                                    4            0.46%
111    East China Normal University                                           4            0.46%
112    Cisco Systems                                                          4            0.46%
113    Engineering Research Center of Machine Learning and Industry Intelligence 4            0.46%
114    University of the Basque Country                                       4            0.46%
115    ShanghaiTech University                                                4            0.46%
116    University of Illinois at Chicago                                      4            0.46%
117    Nankai University                                                      4            0.46%
118    Dalian University of Technology                                        4            0.46%
119    Tianjin University                                                     4            0.46%
120    Southeast University                                                   4            0.46%
121    Jilin University                                                       4            0.46%
122    University of Alberta                                                  4            0.46%
123    University of Texas at Dallas                                          4            0.46%
124    Institute for Infocomm Research                                        4            0.46%
125    Meituan                                                                4            0.46%
126    University of Tokyo                                                    4            0.46%
127    Beijing National Research Center for Information Science and Technology 4            0.46%
128    Indian Institute of Technology Delhi                                   4            0.46%
129    Salesforce                                                             4            0.46%
130    University of Manchester                                               4            0.46%
131    Technische Universität Darmstadt                                       4            0.46%
132    Singapore University of Technology and Design                          4            0.46%
133    Higher School of Economics                                             4            0.46%
134    Central South University                                               4            0.46%
135    University of Oxford                                                   4            0.46%
136    Zhongguancun Laboratory                                                4            0.46%
137    Fondazione Bruno Kessler                                               4            0.46%
138    Nanjing University of Science and Technology                           3            0.35%
139    University of Illinois Chicago                                         3            0.35%
140    Kempelen Institute of Intelligent Technologies                         3            0.35%
141    National Taiwan University                                             3            0.35%
142    University of Zurich                                                   3            0.35%
143    IT University of Copenhagen                                            3            0.35%
144    KAIST                                                                  3            0.35%
145    Pompeu Fabra University                                                3            0.35%
146    Xiaomi Corporation                                                     3            0.35%
147    Hanyang University                                                     3            0.35%
148    Bocconi University                                                     3            0.35%
149    University of Chicago                                                  3            0.35%
150    Bloomberg                                                              3            0.35%
151    Xiaohongshu Inc                                                        3            0.35%
152    NAVER Corporation                                                      3            0.35%
