====================================================================================================
EMNLP 2024 论文统计分析汇总报告
====================================================================================================

【一、论文类别统计】
====================================================================================================
总论文数: 2319
总类别数: 1

排名     类别                                                 数量         占比        
----------------------------------------------------------------------------------------------------
1                                                         2319       100.00%


【二、论文机构统计】
====================================================================================================
统计模式: 所有机构
总论文数: 2319
总机构数: 1187

排名     机构名称                                                                   论文数        占比        
----------------------------------------------------------------------------------------------------
1      Amazon                                                                 77           3.32%
2      Microsoft                                                              72           3.10%
3      Chinese Academy of Sciences                                            60           2.59%
4      Fudan University                                                       56           2.41%
5      Tsinghua University                                                    56           2.41%
6      Peking University                                                      55           2.37%
7      Zhejiang University                                                    55           2.37%
8      Carnegie Mellon University                                             51           2.20%
9      Google                                                                 51           2.20%
10     Hong Kong University of Science and Technology                         48           2.07%
11     Chinese University of Hong Kong                                        45           1.94%
12     National University of Singapore                                       44           1.90%
13     University of Illinois Urbana-Champaign                                44           1.90%
14     Nanyang Technological University                                       44           1.90%
15     Tencent                                                                44           1.90%
16     University of Chinese Academy of Sciences                              43           1.85%
17     Shanghai Jiao Tong University                                          43           1.85%
18     University of California, Los Angeles                                  41           1.77%
19     University of Washington                                               41           1.77%
20     Stanford University                                                    38           1.64%
21     Northeastern University                                                37           1.60%
22     University of Cambridge                                                36           1.55%
23     Alibaba Group                                                          36           1.55%
24     Harbin Institute of Technology                                         35           1.51%
25     University of Science and Technology of China                          34           1.47%
26     University of Southern California                                      33           1.42%
27     University of California, Berkeley                                     33           1.42%
28     Korea Advanced Institute of Science and Technology                     33           1.42%
29     Mohamed bin Zayed University of Artificial Intelligence                33           1.42%
30     Huawei                                                                 30           1.29%
31     Allen Institute for AI                                                 29           1.25%
32     University of Maryland                                                 28           1.21%
33     University of Edinburgh                                                28           1.21%
34     Massachusetts Institute of Technology                                  28           1.21%
35     Hong Kong Polytechnic University                                       27           1.16%
36     Columbia University                                                    27           1.16%
37     Georgia Institute of Technology                                        27           1.16%
38     IBM                                                                    26           1.12%
39     Renmin University of China                                             26           1.12%
40     ETH Zurich                                                             26           1.12%
41     University of Michigan                                                 26           1.12%
42     Meta                                                                   26           1.12%
43     Johns Hopkins University                                               25           1.08%
44     Seoul National University                                              24           1.03%
45     Adobe                                                                  23           0.99%
46     Shanghai Artificial Intelligence Laboratory                            22           0.95%
47     East China Normal University                                           22           0.95%
48     University of California, San Diego                                    20           0.86%
49     Shanghai AI Laboratory                                                 20           0.86%
50     University of Texas at Austin                                          20           0.86%
51     University of Pennsylvania                                             19           0.82%
52     Singapore Management University                                        19           0.82%
53     University of Copenhagen                                               19           0.82%
54     University of Amsterdam                                                19           0.82%
55     University of California, Santa Barbara                                18           0.78%
56     University of Toronto                                                  18           0.78%
57     Beihang University                                                     18           0.78%
58     Beijing Institute of Technology                                        17           0.73%
59     University of Manchester                                               17           0.73%
60     Ant Group                                                              17           0.73%
61     NVIDIA                                                                 17           0.73%
62     Munich Center for Machine Learning                                     16           0.69%
63     Université de Montréal                                                 16           0.69%
64     Sun Yat-sen University                                                 16           0.69%
65     Yale University                                                        16           0.69%
66     Korea University                                                       16           0.69%
67     University of Hong Kong                                                16           0.69%
68     University of Massachusetts Amherst                                    15           0.65%
69     Westlake University                                                    15           0.65%
70     Pengcheng Laboratory                                                   15           0.65%
71     Independent Researcher                                                 15           0.65%
72     University of Waterloo                                                 14           0.60%
73     Purdue University                                                      14           0.60%
74     University of North Carolina at Chapel Hill                            14           0.60%
75     National Taiwan University                                             14           0.60%
76     Harvard University                                                     14           0.60%
77     Yonsei University                                                      14           0.60%
78     Arizona State University                                               14           0.60%
79     Beijing University of Posts and Telecommunications                     13           0.56%
80     Baidu                                                                  13           0.56%
81     Monash University                                                      13           0.56%
82     Cornell University                                                     13           0.56%
83     LMU Munich                                                             12           0.52%
84     University of Oxford                                                   12           0.52%
85     Pennsylvania State University                                          12           0.52%
86     Virginia Tech                                                          12           0.52%
87     Nanjing University                                                     12           0.52%
88     Technical University of Munich                                         12           0.52%
89     Indian Institute of Technology Patna                                   11           0.47%
90     Indian Institute of Technology Kharagpur                               11           0.47%
91     University of Notre Dame                                               11           0.47%
92     Samsung                                                                11           0.47%
93     EPFL                                                                   11           0.47%
94     Cohere                                                                 11           0.47%
95     Northwestern University                                                11           0.47%
96     New York University                                                    11           0.47%
97     LG                                                                     11           0.47%
98     Quebec AI Institute                                                    11           0.47%
99     University of Virginia                                                 11           0.47%
100    Indian Institute of Technology Bombay                                  10           0.43%
101    University of Tokyo                                                    10           0.43%
102    University of Zurich                                                   10           0.43%
103    Rutgers University                                                     10           0.43%
104    Hanyang University                                                     10           0.43%
105    University of Arizona                                                  10           0.43%
106    Sungkyunkwan University                                                10           0.43%
107    University of California, Davis                                        10           0.43%
108    Saarland University                                                    10           0.43%
109    University College London                                              10           0.43%
110    Singapore University of Technology and Design                          10           0.43%
111    Huazhong University of Science and Technology                          9            0.39%
112    University of Trento                                                   9            0.39%
113    City University of Hong Kong                                           9            0.39%
114    University of Illinois at Chicago                                      9            0.39%
115    Tel Aviv University                                                    9            0.39%
116    McGill University                                                      9            0.39%
117    Emory University                                                       9            0.39%
118    Xi'an Jiao Tong University                                             9            0.39%
119    Salesforce                                                             9            0.39%
120    Brown University                                                       9            0.39%
121    Dalian University of Technology                                        8            0.34%
122    University of Alberta                                                  8            0.34%
123    Alan Turing Institute                                                  8            0.34%
124    Soochow University                                                     8            0.34%
125    RIKEN                                                                  8            0.34%
126    Apple                                                                  8            0.34%
127    Princeton University                                                   8            0.34%
128    Dartmouth College                                                      8            0.34%
129    Nara Institute of Science and Technology                               8            0.34%
130    Queen Mary University of London                                        8            0.34%
131    Intel                                                                  8            0.34%
132    George Mason University                                                8            0.34%
133    University of British Columbia                                         8            0.34%
134    Ludwig Maximilian University of Munich                                 8            0.34%
135    King's College London                                                  8            0.34%
136    Indian Institute of Technology Delhi                                   8            0.34%
137    South China University of Technology                                   8            0.34%
138    Canadian Institute for Advanced Research                               8            0.34%
139    Institute for Infocomm Research                                        8            0.34%
140    Cardiff University                                                     8            0.34%
141    University of Minnesota                                                8            0.34%
142    Bar-Ilan University                                                    8            0.34%
143    University of Stuttgart                                                8            0.34%
144    Indian Institute of Technology Jodhpur                                 7            0.30%
145    Wuhan University                                                       7            0.30%
146    Duke University                                                        7            0.30%
147    Kyoto University                                                       7            0.30%
148    University of Surrey                                                   7            0.30%
149    Hebrew University of Jerusalem                                         7            0.30%
150    University of Texas at Dallas                                          7            0.30%
151    KAIST                                                                  7            0.30%
152    Beijing Academy of Artificial Intelligence                             7            0.30%
153    Central South University                                               7            0.30%
154    Meituan                                                                7            0.30%
