====================================================================================================
ICLR 2023 论文统计分析汇总报告
====================================================================================================

【一、论文类别统计】
====================================================================================================
总论文数: 1574
总类别数: 1

排名     类别                                                 数量         占比        
----------------------------------------------------------------------------------------------------
1                                                         1574       100.00%


【二、论文机构统计】
====================================================================================================
统计模式: 所有机构
总论文数: 1574
总机构数: 688

排名     机构名称                                                                   论文数        占比        
----------------------------------------------------------------------------------------------------
1      Google                                                                 181         11.50%
2      Microsoft                                                              102          6.48%
3      Tsinghua University                                                    94           5.97%
4      Carnegie Mellon University                                             93           5.91%
5      Meta                                                                   88           5.59%
6      Stanford University                                                    70           4.45%
7      Massachusetts Institute of Technology                                  70           4.45%
8      Peking University                                                      61           3.88%
9      Amazon                                                                 61           3.88%
10     University of California, Berkeley                                     55           3.49%
11     Huawei                                                                 42           2.67%
12     Shanghai Jiao Tong University                                          42           2.67%
13     New York University                                                    36           2.29%
14     Korea Advanced Institute of Science and Technology                     35           2.22%
15     Georgia Institute of Technology                                        35           2.22%
16     University of California, Los Angeles                                  34           2.16%
17     ETH Zurich                                                             34           2.16%
18     University of Texas at Austin                                          34           2.16%
19     Zhejiang University                                                    33           2.10%
20     Princeton University                                                   33           2.10%
21     University of Oxford                                                   33           2.10%
22     Swiss Federal Institute of Technology                                  33           2.10%
23     University of Cambridge                                                32           2.03%
24     Hong Kong University of Science and Technology                         30           1.91%
25     Tencent                                                                29           1.84%
26     National University of Singapore                                       28           1.78%
27     University of Science and Technology of China                          28           1.78%
28     University of Washington                                               27           1.72%
29     University of Illinois Urbana-Champaign                                27           1.72%
30     Harvard University                                                     26           1.65%
31     International Business Machines Corporation                            25           1.59%
32     University of Toronto                                                  25           1.59%
33     University of Hong Kong                                                24           1.52%
34     Alibaba Group                                                          23           1.46%
35     ByteDance                                                              23           1.46%
36     University of Maryland                                                 23           1.46%
37     University of Montreal                                                 22           1.40%
38     Chinese University of Hong Kong                                        22           1.40%
39     University College London                                              21           1.33%
40     Cornell University                                                     20           1.27%
41     University of California, San Diego                                    20           1.27%
42     Nanyang Technological University                                       20           1.27%
43     NVIDIA                                                                 19           1.21%
44     Chinese Academy of Sciences                                            19           1.21%
45     Apple                                                                  18           1.14%
46     Columbia University                                                    18           1.14%
47     Northeastern University                                                17           1.08%
48     Yale University                                                        17           1.08%
49     Duke University                                                        17           1.08%
50     University of Edinburgh                                                17           1.08%
51     University of Amsterdam                                                17           1.08%
52     University of Michigan                                                 16           1.02%
53     Johns Hopkins University                                               16           1.02%
54     University of Southern California                                      15           0.95%
55     Nanjing University                                                     15           0.95%
56     University of Sydney                                                   15           0.95%
57     Qualcomm Incorporated                                                  14           0.89%
58     University of Pennsylvania                                             14           0.89%
59     Allen Institute for Artificial Intelligence                            14           0.89%
60     Université de Montréal                                                 13           0.83%
61     Ohio State University                                                  13           0.83%
62     Seoul National University                                              13           0.83%
63     Purdue University                                                      13           0.83%
64     University of California, Santa Barbara                                13           0.83%
65     Fudan University                                                       13           0.83%
66     DeepMind                                                               12           0.76%
67     University of Chicago                                                  12           0.76%
68     Sea Group                                                              12           0.76%
69     Harbin Institute of Technology                                         12           0.76%
70     University of Tuebingen                                                12           0.76%
71     University of Tokyo                                                    12           0.76%
72     Imperial College London                                                11           0.70%
73     Adobe                                                                  11           0.70%
74     Salesforce                                                             11           0.70%
75     University of Virginia                                                 11           0.70%
76     Samsung                                                                11           0.70%
77     Michigan State University                                              11           0.70%
78     Texas A&M University                                                   11           0.70%
79     Technion - Israel Institute of Technology                              10           0.64%
80     Renmin University of China                                             10           0.64%
81     Sea AI Lab                                                             10           0.64%
82     NAVER Corporation                                                      10           0.64%
83     Tel Aviv University                                                    10           0.64%
84     McGill University                                                      10           0.64%
85     University of Wisconsin                                                10           0.64%
86     Australian National University                                         10           0.64%
87     Tianjin University                                                     9            0.57%
88     Max Planck Institute for Intelligent Systems                           9            0.57%
89     Beijing University of Posts and Telecommunications                     9            0.57%
90     OpenAI                                                                 9            0.57%
91     University of Waterloo                                                 9            0.57%
92     Baidu                                                                  9            0.57%
93     Rutgers University                                                     9            0.57%
94     University of Massachusetts Amherst                                    9            0.57%
95     IBM                                                                    9            0.57%
96     University of Technology Sydney                                        9            0.57%
97     SenseTime                                                              9            0.57%
98     University of Notre Dame                                               8            0.51%
99     King Abdullah University of Science and Technology                     8            0.51%
100    Pennsylvania State University                                          8            0.51%
101    University of British Columbia                                         8            0.51%
102    Quebec Artificial Intelligence Institute                               8            0.51%
