====================================================================================================
NeurIPS 2025 论文机构统计（所有机构，按出现次数降序）
====================================================================================================

总论文数: 3703
总机构数: 1417

排名     机构名称                                                                   论文数        占比        
----------------------------------------------------------------------------------------------------
1      Google                                                                 238          6.43%
2      Tsinghua University                                                    204          5.51%
3      Massachusetts Institute of Technology                                  179          4.83%
4      Carnegie Mellon University                                             158          4.27%
5      Peking University                                                      158          4.27%
6      Shanghai Jiao Tong University                                          139          3.75%
7      Stanford University                                                    136          3.67%
8      Microsoft                                                              136          3.67%
9      Zhejiang University                                                    131          3.54%
10     University of California, Berkeley                                     125          3.38%
11     Hong Kong University of Science and Technology                         123          3.32%
12     Chinese University of Hong Kong                                        122          3.29%
13     Chinese Academy of Sciences                                            117          3.16%
14     Meta                                                                   112          3.02%
15     National University of Singapore                                       108          2.92%
16     NVIDIA                                                                 102          2.75%
17     Amazon                                                                 100          2.70%
18     University of Illinois Urbana-Champaign                                95           2.57%
19     Harvard University                                                     93           2.51%
20     Alibaba Group                                                          91           2.46%
21     Nanyang Technological University                                       90           2.43%
22     Korea Advanced Institute of Science and Technology                     89           2.40%
23     University of Science and Technology of China                          87           2.35%
24     Huawei                                                                 83           2.24%
25     ByteDance                                                              83           2.24%
26     University of California, Los Angeles                                  75           2.03%
27     University of Texas at Austin                                          72           1.94%
28     ETH Zurich                                                             70           1.89%
29     University of Oxford                                                   70           1.89%
30     University of Hong Kong                                                65           1.76%
31     Princeton University                                                   64           1.73%
32     Tencent                                                                63           1.70%
33     Georgia Institute of Technology                                        60           1.62%
34     University of California, San Diego                                    58           1.57%
35     New York University                                                    57           1.54%
36     Nanjing University                                                     56           1.51%
37     University of Washington                                               55           1.49%
38     Fudan University                                                       55           1.49%
39     Cornell University                                                     54           1.46%
40     Apple                                                                  54           1.46%
41     EPFL                                                                   50           1.35%
42     Renmin University of China                                             50           1.35%
43     University of Pennsylvania                                             48           1.30%
44     University of Cambridge                                                47           1.27%
45     University of Toronto                                                  47           1.27%
46     Sun Yat-sen University                                                 45           1.22%
47     University of Chinese Academy of Sciences                              45           1.22%
48     Shanghai Artificial Intelligence Laboratory                            44           1.19%
49     University College London                                              44           1.19%
50     University of Southern California                                      44           1.19%
51     University of Montreal                                                 43           1.16%
52     Seoul National University                                              43           1.16%
53     Beihang University                                                     42           1.13%
54     Mohamed bin Zayed University of Artificial Intelligence                41           1.11%
55     University of Maryland                                                 39           1.05%
56     International Business Machines Corporation                            39           1.05%
57     Columbia University                                                    38           1.03%
58     Harbin Institute of Technology                                         36           0.97%
59     Westlake University                                                    35           0.95%
60     Imperial College London                                                35           0.95%
61     Purdue University                                                      35           0.95%
62     Beijing University of Posts and Telecommunications                     35           0.95%
63     University of Tokyo                                                    34           0.92%
64     Quebec Artificial Intelligence Institute                               33           0.89%
65     Johns Hopkins University                                               33           0.89%
66     University of Wisconsin-Madison                                        33           0.89%
67     University of Michigan                                                 33           0.89%
68     Shanghai AI Laboratory                                                 31           0.84%
69     Technische Universität München                                         30           0.81%
70     Northeastern University                                                30           0.81%
71     University of Edinburgh                                                30           0.81%
72     Huazhong University of Science and Technology                          30           0.81%
73     Hong Kong Polytechnic University                                       30           0.81%
74     University of North Carolina                                           29           0.78%
75     City University of Hong Kong                                           29           0.78%
76     University of Chicago                                                  29           0.78%
77     Technion - Israel Institute of Technology                              29           0.78%
78     Pennsylvania State University                                          29           0.78%
79     INRIA                                                                  28           0.76%
80     Swiss Federal Institute of Technology                                  28           0.76%
81     Université de Montréal                                                 28           0.76%
82     Allen Institute for Artificial Intelligence                            27           0.73%
83     University of Amsterdam                                                27           0.73%
84     Ohio State University                                                  27           0.73%
85     Adobe                                                                  27           0.73%
86     Singapore Management University                                        26           0.70%
87     University of Virginia                                                 25           0.68%
88     McGill University                                                      25           0.68%
89     Duke University                                                        25           0.68%
90     California Institute of Technology                                     24           0.65%
91     RIKEN                                                                  23           0.62%
92     Southern University of Science and Technology                          23           0.62%
93     Technical University of Munich                                         23           0.62%
94     Rutgers University                                                     23           0.62%
95     Texas A&M University                                                   23           0.62%
96     King Abdullah University of Science and Technology                     23           0.62%
97     Xi'an Jiao Tong University                                             22           0.59%
98     Tianjin University                                                     22           0.59%
99     Southeast University                                                   22           0.59%
100    University of Waterloo                                                 21           0.57%
101    East China Normal University                                           21           0.57%
102    University of British Columbia                                         21           0.57%
103    Unknown Institution                                                    21           0.57%
104    University of Sydney                                                   21           0.57%
105    University of Electronic Science and Technology of China               20           0.54%
106    Samsung                                                                20           0.54%
107    University of Melbourne                                                20           0.54%
