====================================================================================================
ICML 2023 论文统计分析汇总报告
====================================================================================================

【一、论文类别统计】
====================================================================================================
总论文数: 1863
总类别数: 1

排名     类别                                                 数量         占比        
----------------------------------------------------------------------------------------------------
1                                                         1863       100.00%


【二、论文机构统计】
====================================================================================================
统计模式: 所有机构
总论文数: 1863
总机构数: 765

排名     机构名称                                                                   论文数        占比        
----------------------------------------------------------------------------------------------------
1      Google                                                                 215         11.54%
2      Massachusetts Institute of Technology                                  93           4.99%
3      Meta                                                                   88           4.72%
4      Carnegie Mellon University                                             78           4.19%
5      Tsinghua University                                                    74           3.97%
6      Stanford University                                                    65           3.49%
7      Microsoft                                                              63           3.38%
8      Amazon                                                                 61           3.27%
9      University of California, Berkeley                                     59           3.17%
10     University of California, Los Angeles                                  51           2.74%
11     Korea Advanced Institute of Science and Technology                     44           2.36%
12     Peking University                                                      43           2.31%
13     University of Oxford                                                   37           1.99%
14     University of California, San Diego                                    35           1.88%
15     National University of Singapore                                       34           1.83%
16     New York University                                                    32           1.72%
17     Cornell University                                                     32           1.72%
18     University of Texas at Austin                                          32           1.72%
19     University of Illinois Urbana-Champaign                                31           1.66%
20     Swiss Federal Institute of Technology                                  30           1.61%
21     Georgia Institute of Technology                                        30           1.61%
22     Shanghai Jiao Tong University                                          30           1.61%
23     Princeton University                                                   28           1.50%
24     INRIA                                                                  28           1.50%
25     University of Cambridge                                                27           1.45%
26     University of Montreal                                                 27           1.45%
27     Chinese Academy of Sciences                                            25           1.34%
28     NVIDIA                                                                 25           1.34%
29     Seoul National University                                              25           1.34%
30     University of Michigan                                                 24           1.29%
31     Purdue University                                                      24           1.29%
32     Zhejiang University                                                    24           1.29%
33     Harvard University                                                     23           1.23%
34     University of Pennsylvania                                             23           1.23%
35     Imperial College London                                                23           1.23%
36     Technion - Israel Institute of Technology                              23           1.23%
37     Yale University                                                        23           1.23%
38     University of Wisconsin-Madison                                        22           1.18%
39     Huawei                                                                 22           1.18%
40     ETH Zurich                                                             22           1.18%
41     Columbia University                                                    21           1.13%
42     University of Southern California                                      21           1.13%
43     EPFL                                                                   21           1.13%
44     University of Maryland                                                 21           1.13%
45     University of Chicago                                                  21           1.13%
46     International Business Machines Corporation                            20           1.07%
47     Alibaba Group                                                          20           1.07%
48     Nanjing University                                                     20           1.07%
49     RIKEN                                                                  19           1.02%
50     University of Wisconsin                                                18           0.97%
51     Nanyang Technological University                                       18           0.97%
52     Hong Kong University of Science and Technology                         18           0.97%
53     University of Tokyo                                                    17           0.91%
54     University College London                                              17           0.91%
55     Swiss Federal Institute of Technology Lausanne                         17           0.91%
56     University of Science and Technology of China                          17           0.91%
57     Apple                                                                  17           0.91%
58     University of Hong Kong                                                16           0.86%
59     Chinese University of Hong Kong                                        16           0.86%
60     University of Washington                                               16           0.86%
61     University of Sydney                                                   15           0.81%
62     Tel Aviv University                                                    15           0.81%
63     Johns Hopkins University                                               15           0.81%
64     University of Illinois at Chicago                                      14           0.75%
65     ByteDance                                                              14           0.75%
66     Texas A&M University                                                   14           0.75%
67     Samsung                                                                14           0.75%
68     Renmin University of China                                             14           0.75%
69     Northeastern University                                                14           0.75%
70     Duke University                                                        14           0.75%
71     University of Amsterdam                                                14           0.75%
72     Ohio State University                                                  13           0.70%
73     Pennsylvania State University                                          13           0.70%
74     Tencent                                                                12           0.64%
75     Fudan University                                                       12           0.64%
76     University of British Columbia                                         12           0.64%
77     North Carolina State University                                        12           0.64%
78     McGill University                                                      12           0.64%
79     Ecole Polytechnique                                                    12           0.64%
80     University of California, Santa Barbara                                12           0.64%
81     University of Electronic Science and Technology of China               11           0.59%
82     California Institute of Technology                                     11           0.59%
83     University of Waterloo                                                 10           0.54%
84     Boston University                                                      10           0.54%
85     University of Edinburgh                                                10           0.54%
86     Tianjin University                                                     10           0.54%
87     Rutgers University                                                     10           0.54%
88     University of Alberta                                                  10           0.54%
89     University of Massachusetts Amherst                                    10           0.54%
90     Rice University                                                        10           0.54%
91     University of Toronto                                                  10           0.54%
92     Adobe                                                                  9            0.48%
93     Université de Montréal                                                 9            0.48%
94     Aalto University                                                       9            0.48%
95     JPMorgan Chase & Co.                                                   9            0.48%
96     KTH Royal Institute of Technology                                      9            0.48%
97     Technical University of Munich                                         9            0.48%
98     Covariant                                                              9            0.48%
99     CISPA Helmholtz Center for Information Security                        9            0.48%
100    Harbin Institute of Technology                                         8            0.43%
101    Quebec Artificial Intelligence Institute                               8            0.43%
102    Brown University                                                       8            0.43%
103    Northwestern University                                                8            0.43%
104    University of Chinese Academy of Sciences                              8            0.43%
105    Hong Kong Polytechnic University                                       8            0.43%
106    Westlake University                                                    8            0.43%
107    Intel                                                                  8            0.43%
108    University of Tuebingen                                                7            0.38%
109    LinkedIn Corporation                                                   7            0.38%
110    Ecole Nationale de la Statistique et de l'Administration Economique    7            0.38%
111    Yonsei University                                                      7            0.38%
112    Michigan State University                                              7            0.38%
113    Baidu                                                                  7            0.38%
114    JD                                                                     7            0.38%
115    Eindhoven University of Technology                                     7            0.38%
116    University of Utah                                                     7            0.38%
117    Wuhan University                                                       7            0.38%
118    IBM                                                                    7            0.38%
119    Sony Corporation                                                       7            0.38%
120    Rensselaer Polytechnic Institute                                       7            0.38%
121    OpenAI                                                                 7            0.38%
122    University of California, Irvine                                       7            0.38%
123    University of Minnesota                                                7            0.38%
124    Technische Universität München                                         7            0.38%
125    Huazhong University of Science and Technology                          7            0.38%
126    Qualcomm Incorporated                                                  7            0.38%
127    Technische Universität Berlin                                          7            0.38%
128    Virginia Tech                                                          6            0.32%
129    Pohang University of Science and Technology                            6            0.32%
130    Arizona State University                                               6            0.32%
131    University of Pittsburgh                                               6            0.32%
132    Flatiron Institute                                                     6            0.32%
133    Eberhard Karls University of Tübingen                                  6            0.32%
134    Mohamed bin Zayed University of Artificial Intelligence                6            0.32%
135    University of Maryland, College Park                                   6            0.32%
136    Sun Yat-sen University                                                 6            0.32%
137    Katholieke Universiteit Leuven                                         6            0.32%
138    State University of New York at Buffalo                                6            0.32%
139    Max Planck Institute for Intelligent Systems                           6            0.32%
140    King Abdullah University of Science and Technology                     6            0.32%
141    Australian National University                                         6            0.32%
142    Sea AI Lab                                                             6            0.32%
143    Centre National de la Recherche Scientifique                           6            0.32%
144    DeepMind                                                               6            0.32%
145    University of Technology Sydney                                        6            0.32%
146    National University of Defense Technology                              6            0.32%
147    Politecnico di Milano                                                  6            0.32%
148    City University of Hong Kong                                           6            0.32%
149    University of North Carolina                                           6            0.32%
150    Oregon State University                                                6            0.32%
151    University of Melbourne                                                6            0.32%
152    Wayne State University                                                 6            0.32%
153    Sorbonne Université                                                    6            0.32%
154    Mila                                                                   5            0.27%
155    Quebec AI Institute                                                    5            0.27%
156    Toyota Technological Institute at Chicago                              5            0.27%
157    Higher School of Economics                                             5            0.27%
158    Xidian University                                                      5            0.27%
159    Beihang University                                                     5            0.27%
160    Salesforce                                                             5            0.27%
161    Delft University of Technology                                         5            0.27%
162    Max-Planck Institute                                                   5            0.27%
163    Rochester Institute of Technology                                      5            0.27%
164    Polytechnic Institute of Milan                                         5            0.27%
165    Ben-Gurion University of the Negev                                     5            0.27%
166    NAVER Corporation                                                      5            0.27%
167    University of California, Santa Cruz                                   5            0.27%
168    Technical University of Denmark                                        5            0.27%
169    Shanghai Artificial Intelligence Laboratory                            5            0.27%
170    Korea University                                                       5            0.27%
171    University of Virginia                                                 5            0.27%
172    Bar-Ilan University                                                    4            0.21%
173    Iowa State University                                                  4            0.21%
174    Monash University                                                      4            0.21%
175    University of Bristol                                                  4            0.21%
176    George Washington University                                           4            0.21%
177    Max Planck Institute for Mathematics in the Sciences                   4            0.21%
178    Twitter, Inc.                                                          4            0.21%
179    Ecole Normale Supérieure de Lyon                                       4            0.21%
180    Waymo                                                                  4            0.21%
181    Simon Fraser University                                                4            0.21%
182    Snap Inc.                                                              4            0.21%
183    Ecole Normale Supérieure de Paris                                      4            0.21%
184    Université Côte d'Azur                                                 4            0.21%
185    Ludwig-Maximilians-Universität München                                 4            0.21%
186    Southern University of Science and Technology                          4            0.21%
187    Institute of Science and Technology                                    4            0.21%
188    Xiamen University                                                      4            0.21%
189    Saarland University                                                    4            0.21%
190    Beijing Academy of Artificial Intelligence                             4            0.21%
191    JD.com                                                                 4            0.21%
192    University of California, Davis                                        4            0.21%
193    Beijing Institute of Technology                                        4            0.21%
194    Valence Labs                                                           4            0.21%
195    University of Notre Dame                                               4            0.21%
196    Weizmann Institute of Science                                          4            0.21%
197    Hong Kong Baptist University                                           4            0.21%
198    LG                                                                     4            0.21%
199    ENSAE ParisTech                                                        4            0.21%
200    State University of New York                                           4            0.21%
201    Indian Institute of Technology Delhi                                   4            0.21%
202    Yandex                                                                 4            0.21%
