====================================================================================================
IJCAI 2025 论文统计分析汇总报告
====================================================================================================

【一、论文类别统计】
====================================================================================================
总论文数: 790
总类别数: 15

排名     类别                                                 数量         占比        
----------------------------------------------------------------------------------------------------
1      Machine Learning                                   234         29.62%
2      Computer Vision                                    140         17.72%
3      Data Mining                                        71           8.99%
4      Natural Language Processing                        57           7.22%
5      Knowledge Representation and Reasoning             48           6.08%
6      Game Theory and Economic Paradigms                 47           5.95%
7      Multidisciplinary Topics and Applications          46           5.82%
8      Agent-based and Multi-agent Systems                36           4.56%
9      AI Ethics, Trust, Fairness                         27           3.42%
10     Search                                             21           2.66%
11     Constraint Satisfaction and Optimization           17           2.15%
12     Humans and AI                                      16           2.03%
13     Planning and Scheduling                            15           1.90%
14     Robotics                                           8            1.01%
15     Uncertainty in AI                                  7            0.89%


【二、论文机构统计】
====================================================================================================
统计模式: 所有机构
总论文数: 790
总机构数: 700

排名     机构名称                                                                   论文数        占比        
----------------------------------------------------------------------------------------------------
1      Zhejiang University                                                    38           4.81%
2      Chinese Academy of Sciences                                            36           4.56%
3      University of Science and Technology of China                          36           4.56%
4      Tsinghua University                                                    32           4.05%
5      Nanyang Technological University                                       25           3.16%
6      Peking University                                                      24           3.04%
7      Hong Kong Polytechnic University                                       23           2.91%
8      University of Electronic Science and Technology of China               21           2.66%
9      National University of Singapore                                       20           2.53%
10     Southeast University                                                   20           2.53%
11     Jilin University                                                       20           2.53%
12     Harbin Institute of Technology                                         19           2.41%
13     University of Chinese Academy of Sciences                              18           2.28%
14     University of Technology Sydney                                        18           2.28%
15     Nanjing University                                                     18           2.28%
16     Sun Yat-sen University                                                 18           2.28%
17     Huazhong University of Science and Technology                          17           2.15%
18     University of Oxford                                                   16           2.03%
19     Shanghai Jiao Tong University                                          16           2.03%
20     Shenzhen University                                                    14           1.77%
21     Fudan University                                                       14           1.77%
22     Xi'an Jiao Tong University                                             14           1.77%
23     Beihang University                                                     14           1.77%
24     Hong Kong University of Science and Technology                         13           1.65%
25     Huawei                                                                 13           1.65%
26     University of Macau                                                    13           1.65%
27     Wuhan University                                                       13           1.65%
28     Tianjin University                                                     13           1.65%
29     Shandong University                                                    12           1.52%
30     Tencent                                                                12           1.52%
31     Nanjing University of Science and Technology                           12           1.52%
32     Northwestern Polytechnical University                                  11           1.39%
33     Beijing University of Posts and Telecommunications                     11           1.39%
34     Carnegie Mellon University                                             11           1.39%
35     Xidian University                                                      11           1.39%
36     Beijing Institute of Technology                                        11           1.39%
37     City University of Hong Kong                                           11           1.39%
38     Singapore Management University                                        10           1.27%
39     Renmin University of China                                             9            1.14%
40     Dalian University of Technology                                        9            1.14%
41     Sichuan University                                                     9            1.14%
42     Pengcheng Laboratory                                                   9            1.14%
43     Beijing Jiao Tong University                                           9            1.14%
44     Xiamen University                                                      8            1.01%
45     National University of Defense Technology                              8            1.01%
46     Nanjing University of Aeronautics and Astronautics                     8            1.01%
47     Hefei University of Technology                                         8            1.01%
48     Southern University of Science and Technology                          8            1.01%
49     Google                                                                 7            0.89%
50     Macquarie University                                                   7            0.89%
51     Hefei Comprehensive National Science Center                            7            0.89%
52     Microsoft                                                              7            0.89%
53     Chongqing University                                                   7            0.89%
54     Griffith University                                                    7            0.89%
55     Anhui University                                                       7            0.89%
56     Huazhong Agricultural University                                       7            0.89%
57     University of Sydney                                                   6            0.76%
58     Skywork AI                                                             6            0.76%
59     Harvard University                                                     6            0.76%
60     Massachusetts Institute of Technology                                  6            0.76%
61     University of Liverpool                                                6            0.76%
62     Hunan University                                                       6            0.76%
63     Tongji University                                                      6            0.76%
64     Dalian Maritime University                                             6            0.76%
65     South China University of Technology                                   6            0.76%
66     Alibaba Group                                                          6            0.76%
67     Delft University of Technology                                         6            0.76%
68     Strategy Robot, Inc.                                                   5            0.63%
69     Strategic Machine, Inc.                                                5            0.63%
70     Optimized Markets, Inc.                                                5            0.63%
71     Baidu                                                                  5            0.63%
72     Zhejiang Lab                                                           5            0.63%
73     University of New South Wales                                          5            0.63%
74     Georgia Institute of Technology                                        5            0.63%
75     University of British Columbia                                         5            0.63%
76     University of Melbourne                                                5            0.63%
77     Chinese University of Hong Kong                                        5            0.63%
78     University of Hong Kong                                                5            0.63%
79     East China Normal University                                           5            0.63%
80     Hangzhou Dianzi University                                             5            0.63%
81     Imperial College London                                                5            0.63%
82     Chinese University of Hong Kong, Shenzhen                              5            0.63%
83     Korea Advanced Institute of Science and Technology                     5            0.63%
84     Beijing University of Technology                                       5            0.63%
85     TU Wien                                                                5            0.63%
86     ShanghaiTech University                                                5            0.63%
87     Ant Group                                                              4            0.51%
88     RMIT University                                                        4            0.51%
89     University of Queensland                                               4            0.51%
90     CNRS                                                                   4            0.51%
91     Nanjing University of Information Science and Technology               4            0.51%
92     Guangdong Laboratory of Artificial Intelligence and Digital Economy    4            0.51%
93     Technical University of Munich                                         4            0.51%
94     University of Toronto                                                  4            0.51%
95     Guangxi Normal University                                              4            0.51%
96     University of Science and Technology Beijing                           4            0.51%
97     South China Normal University                                          4            0.51%
98     Agency for Science, Technology and Research                            4            0.51%
99     Jinan University                                                       4            0.51%
100    University of Artois                                                   4            0.51%
101    Hangzhou Normal University                                             4            0.51%
102    IBM                                                                    4            0.51%
103    Shenzhen Research Institute of Big Data                                4            0.51%
104    Shanxi University                                                      4            0.51%
105    Central South University                                               4            0.51%
106    Aarhus University                                                      4            0.51%
107    University of Copenhagen                                               4            0.51%
108    AGH University of Science and Technology                               4            0.51%
109    Ben-Gurion University of the Negev                                     4            0.51%
110    Purdue University                                                      4            0.51%
111    Independent Researcher                                                 4            0.51%
112    University of Birmingham                                               4            0.51%
113    University of Calabria                                                 4            0.51%
114    Engineering Research Center of Intelligent Technology for Agriculture  4            0.51%
115    Mohamed bin Zayed University of Artificial Intelligence                4            0.51%
116    Beijing Institute of Computer Technology and Application               4            0.51%
117    University of Michigan                                                 3            0.38%
118    Shanghai Artificial Intelligence Laboratory                            3            0.38%
119    University of Waterloo                                                 3            0.38%
120    Bar-Ilan University                                                    3            0.38%
121    Deakin University                                                      3            0.38%
122    Monash University                                                      3            0.38%
123    Utrecht University                                                     3            0.38%
124    North Carolina State University                                        3            0.38%
125    University of Amsterdam                                                3            0.38%
126    King's College London                                                  3            0.38%
127    Yunnan University                                                      3            0.38%
128    JD                                                                     3            0.38%
129    Washington University in St. Louis                                     3            0.38%
130    Arizona State University                                               3            0.38%
131    Guangzhou University                                                   3            0.38%
132    University of Virginia                                                 3            0.38%
133    Auburn University                                                      3            0.38%
134    University of Mannheim                                                 3            0.38%
135    Hangzhou High-Tech Zone Institute of Blockchain and Data Security      3            0.38%
136    CSIRO                                                                  3            0.38%
137    iFLYTEK                                                                3            0.38%
138    Shanghai University                                                    3            0.38%
139    Qinghai Normal University                                              3            0.38%
140    Southwest University of Science and Technology                         3            0.38%
141    Chongqing University of Posts and Telecommunications                   3            0.38%
142    Zhongguancun Laboratory                                                3            0.38%
143    Kuaishou Technology                                                    3            0.38%
144    Rensselaer Polytechnic Institute                                       3            0.38%
145    Sungkyunkwan University                                                3            0.38%
146    Zhengzhou University                                                   3            0.38%
147    Cardiff University                                                     3            0.38%
148    Westlake University                                                    3            0.38%
149    JD.com                                                                 3            0.38%
150    Augusta University                                                     3            0.38%
151    Harbin Engineering University                                          3            0.38%
152    Northeast Normal University                                            3            0.38%
153    Hong Kong Baptist University                                           3            0.38%
154    University of Tokyo                                                    3            0.38%
155    Yonsei University                                                      3            0.38%
156    Alan Turing Institute                                                  3            0.38%
157    Czech Technical University                                             3            0.38%
158    Rutgers University                                                     3            0.38%
159    Saarland University                                                    3            0.38%
160    University of Illinois Urbana-Champaign                                3            0.38%
161    Technische Universität Dresden                                         3            0.38%
162    Leipzig University                                                     3            0.38%
163    Paderborn University                                                   3            0.38%
164    Rice University                                                        3            0.38%
165    Guangdong Institute of Intelligence Science and Technology             3            0.38%
166    MIIT                                                                   3            0.38%
167    Guangdong University of Technology                                     3            0.38%
168    Lehigh University                                                      3            0.38%
169    Nankai University                                                      3            0.38%
170    Politecnico di Milano                                                  3            0.38%
171    University of Alberta                                                  3            0.38%
172    Stanford University                                                    3            0.38%
173    Australian National University                                         3            0.38%
174    Beijing Academy of Artificial Intelligence                             2            0.25%
175    Institute of Science and Technology Austria                            2            0.25%
176    Sapienza University of Rome                                            2            0.25%
177    University of Southern California                                      2            0.25%
178    Open University                                                        2            0.25%
179    SenseTime                                                              2            0.25%
180    University of Nebraska-Lincoln                                         2            0.25%
181    ETH Zurich                                                             2            0.25%
182    Netease                                                                2            0.25%
183    University of California, Berkeley                                     2            0.25%
184    University of Central Florida                                          2            0.25%
185    Clemson University                                                     2            0.25%
186    City University of Macau                                               2            0.25%
187    Qilu University of Technology                                          2            0.25%
188    Korea University                                                       2            0.25%
189    George Mason University                                                2            0.25%
190    Shanghai AI Laboratory                                                 2            0.25%
191    East China University of Science and Technology                        2            0.25%
192    Munich Center for Machine Learning                                     2            0.25%
193    Tokyo Institute of Technology                                          2            0.25%
