====================================================================================================
NeurIPS 2025 论文机构统计（所有机构，按出现次数降序）
====================================================================================================

总论文数: 5522
总机构数: 2186

排名     机构名称                                                                   论文数        占比        
----------------------------------------------------------------------------------------------------
1      Tsinghua University                                                    323          5.85%
2      Google                                                                 300          5.43%
3      Peking University                                                      250          4.53%
4      Shanghai Jiao Tong University                                          220          3.98%
5      Chinese University of Hong Kong                                        219          3.97%
6      National University of Singapore                                       201          3.64%
7      Hong Kong University of Science and Technology                         196          3.55%
8      Zhejiang University                                                    179          3.24%
9      University of Science and Technology of China                          172          3.11%
10     Chinese Academy of Sciences                                            171          3.10%
11     Nanyang Technological University                                       171          3.10%
12     Carnegie Mellon University                                             171          3.10%
13     Meta                                                                   169          3.06%
14     Microsoft                                                              164          2.97%
15     Massachusetts Institute of Technology                                  162          2.93%
16     Stanford University                                                    153          2.77%
17     Amazon                                                                 145          2.63%
18     Fudan University                                                       144          2.61%
19     Alibaba Group                                                          142          2.57%
20     University of California, Berkeley                                     139          2.52%
21     Shanghai AI Laboratory                                                 128          2.32%
22     ByteDance                                                              127          2.30%
23     Nanjing University                                                     122          2.21%
24     University of Illinois Urbana-Champaign                                119          2.16%
25     Korea Advanced Institute of Science and Technology                     116          2.10%
26     University of Hong Kong                                                110          1.99%
27     Sun Yat-sen University                                                 109          1.97%
28     Harbin Institute of Technology                                         108          1.96%
29     New York University                                                    105          1.90%
30     Tencent                                                                104          1.88%
31     Huawei                                                                 103          1.87%
32     University of Oxford                                                   100          1.81%
33     NVIDIA                                                                 98           1.77%
34     University of California, San Diego                                    92           1.67%
35     Mohamed bin Zayed University of Artificial Intelligence                91           1.65%
36     ETH Zurich                                                             86           1.56%
37     Georgia Institute of Technology                                        83           1.50%
38     Harvard University                                                     83           1.50%
39     Princeton University                                                   82           1.48%
40     Beihang University                                                     80           1.45%
41     EPFL                                                                   78           1.41%
42     University of California, Los Angeles                                  76           1.38%
43     Renmin University of China                                             75           1.36%
44     University of Texas at Austin                                          75           1.36%
45     University of Chinese Academy of Sciences                              75           1.36%
46     Huazhong University of Science and Technology                          75           1.36%
47     Seoul National University                                              73           1.32%
48     University of Toronto                                                  72           1.30%
49     Wuhan University                                                       72           1.30%
50     Purdue University                                                      70           1.27%
51     City University of Hong Kong                                           70           1.27%
52     University of Washington                                               68           1.23%
53     University of Southern California                                      67           1.21%
54     Beijing University of Posts and Telecommunications                     65           1.18%
55     University of Pennsylvania                                             65           1.18%
56     Imperial College London                                                64           1.16%
57     Hong Kong Polytechnic University                                       64           1.16%
58     RIKEN                                                                  64           1.16%
59     University of Cambridge                                                64           1.16%
60     University College London                                              59           1.07%
61     Xi'an Jiao Tong University                                             59           1.07%
62     Cornell University                                                     59           1.07%
63     Apple                                                                  58           1.05%
64     University of Electronic Science and Technology of China               58           1.05%
65     Columbia University                                                    56           1.01%
66     Yale University                                                        54           0.98%
67     Northeastern University                                                54           0.98%
68     Tongji University                                                      53           0.96%
69     INRIA                                                                  53           0.96%
70     University of Michigan                                                 53           0.96%
71     Tianjin University                                                     51           0.92%
72     Johns Hopkins University                                               51           0.92%
73     Beijing Institute of Technology                                        50           0.91%
74     Technische Universität München                                         48           0.87%
75     Technion - Israel Institute of Technology                              46           0.83%
76     University of Maryland                                                 46           0.83%
77     University of Wisconsin-Madison                                        46           0.83%
78     University of Chicago                                                  45           0.81%
79     International Business Machines Corporation                            44           0.80%
80     Southeast University                                                   41           0.74%
81     University of Tokyo                                                    41           0.74%
82     Shandong University                                                    40           0.72%
83     Université de Montréal                                                 39           0.71%
84     McGill University                                                      38           0.69%
85     University of Sydney                                                   38           0.69%
86     Adobe                                                                  37           0.67%
87     Beijing Jiao Tong University                                           37           0.67%
88     Nankai University                                                      37           0.67%
89     National University of Defense Technology                              37           0.67%
90     Quebec Artificial Intelligence Institute                               36           0.65%
91     University of Montreal                                                 36           0.65%
92     Xiamen University                                                      35           0.63%
93     University of Virginia                                                 35           0.63%
94     South China University of Technology                                   34           0.62%
95     Technical University of Munich                                         34           0.62%
96     Australian National University                                         33           0.60%
97     Southern University of Science and Technology                          33           0.60%
98     University of Melbourne                                                33           0.60%
99     Westlake University                                                    33           0.60%
100    University of British Columbia                                         32           0.58%
101    Yonsei University                                                      32           0.58%
102    Northwestern University                                                31           0.56%
103    University of Massachusetts Amherst                                    31           0.56%
104    Duke University                                                        30           0.54%
105    University of Edinburgh                                                30           0.54%
106    Rutgers University                                                     30           0.54%
107    California Institute of Technology                                     30           0.54%
108    Singapore Management University                                        30           0.54%
109    Nanjing University of Science and Technology                           29           0.53%
110    Sichuan University                                                     29           0.53%
111    Korea University                                                       29           0.53%
112    Ecole Polytechnique                                                    28           0.51%
113    national university of singaore, National University of Singapore      28           0.51%
114    Brown University                                                       28           0.51%
115    University of New South Wales                                          28           0.51%
116    Tel Aviv University                                                    28           0.51%
117    ShanghaiTech University                                                28           0.51%
118    University of Illinois at Chicago                                      27           0.49%
119    Monash University                                                      27           0.49%
120    University of Alberta                                                  27           0.49%
121    Samsung                                                                27           0.49%
122    Kuaishou Technology                                                    26           0.47%
123    University of Waterloo                                                 26           0.47%
124    Ant Group                                                              26           0.47%
125    East China Normal University                                           26           0.47%
126    Snap Inc.                                                              26           0.47%
127    Swiss Federal Institute of Technology                                  25           0.45%
128    Pennsylvania State University                                          25           0.45%
129    University of Amsterdam                                                25           0.45%
130    University of North Carolina                                           25           0.45%
131    Allen Institute for Artificial Intelligence                            24           0.43%
132    Vector Institute                                                       24           0.43%
133    Ohio State University                                                  24           0.43%
134    Texas A&M University                                                   24           0.43%
135    Eberhard Karls University of Tübingen                                  24           0.43%
136    Meituan                                                                24           0.43%
137    Shenzhen University                                                    24           0.43%
138    Dalian University of Technology                                        23           0.42%
139    Beijing Academy of Artificial Intelligence                             23           0.42%
140    University of Technology Sydney                                        23           0.42%
141    Rice University                                                        23           0.42%
142    Central South University                                               23           0.42%
143    King Abdullah University of Science and Technology                     23           0.42%
144    Technische Universität Berlin                                          22           0.40%
145    Hong Kong Baptist University                                           22           0.40%
146    University of Minnesota                                                22           0.40%
147    Max Planck Institute for Intelligent Systems                           22           0.40%
148    Northwest Polytechnical University                                     21           0.38%
149    Boston University                                                      21           0.38%
150    Agency for Science, Technology and Research                            21           0.38%
151    Ludwig-Maximilians-Universität München                                 21           0.38%
152    Sungkyunkwan University                                                21           0.38%
153    University of California, Santa Barbara                                20           0.36%
154    Xidian University                                                      20           0.36%
155    Pohang University of Science and Technology                            20           0.36%
156    Michigan State University                                              20           0.36%
157    Jilin University                                                       20           0.36%
158    Toyota Technological Institute at Chicago                              19           0.34%
159    Centre National de la Recherche Scientifique                           19           0.34%
160    Anthropic                                                              19           0.34%
161    University of Warwick                                                  19           0.34%
162    Virginia Tech                                                          18           0.33%
163    Helmholtz Zentrum München                                              18           0.33%
164    Shanghai University of Finance and Economics                           18           0.33%
165    University of California, Davis                                        18           0.33%
166    Flatiron Institute                                                     17           0.31%
167    Baidu                                                                  17           0.31%
168    Pengcheng Laboratory                                                   17           0.31%
169    Arizona State University                                               17           0.31%
170    Sorbonne Université                                                    17           0.31%
171    University of California, Santa Cruz                                   16           0.29%
172    TikTok                                                                 16           0.29%
173    University of Adelaide                                                 16           0.29%
174    University of Surrey                                                   16           0.29%
175    University of California, Irvine                                       15           0.27%
176    University of Central Florida                                          15           0.27%
177    Independent                                                            15           0.27%
178    Griffith University                                                    15           0.27%
179    CISPA Helmholtz Center for Information Security                        15           0.27%
180    Polytechnic Institute of Milan                                         15           0.27%
181    Swiss Federal Institute of Technology Lausanne                         15           0.27%
182    University of Bristol                                                  15           0.27%
183    Northwestern Polytechnical University                                  15           0.27%
184    IBM                                                                    15           0.27%
185    University of Arizona                                                  14           0.25%
186    King's College London                                                  14           0.25%
187    Rensselaer Polytechnic Institute                                       14           0.25%
188    KTH Royal Institute of Technology                                      14           0.25%
189    China Telecom                                                          14           0.25%
190    University of Florida                                                  14           0.25%
191    University of Queensland                                               14           0.25%
192    Cohere                                                                 13           0.24%
193    University of Trento                                                   13           0.24%
194    ELLIS Institute                                                        13           0.24%
195    Kyoto University                                                       13           0.24%
196    JPMorgan Chase & Co.                                                   13           0.24%
197    Unknown Institution                                                    13           0.24%
198    Alan Turing Institute                                                  13           0.24%
199    University of Manchester                                               13           0.24%
200    Karlsruher Institut für Technologie                                    13           0.24%
