====================================================================================================
NeurIPS 2025 论文统计分析汇总报告
====================================================================================================

【一、论文类别统计】
====================================================================================================
总论文数: 1252
总类别数: 13

排名     类别                                                 数量         占比        
----------------------------------------------------------------------------------------------------
1      deep learning                                      370         29.55%
2      applications                                       229         18.29%
3      theory                                             152         12.14%
4      social and economic aspects of machine learning    105          8.39%
5      machine learning for sciences                      74           5.91%
6      general machine learning                           72           5.75%
7      reinforcement learning                             65           5.19%
8      probabilistic methods                              57           4.55%
9      neuroscience and cognitive science                 51           4.07%
10     optimization                                       48           3.83%
11     evaluation                                         13           1.04%
12     other                                              8            0.64%
13     infrastructure                                     8            0.64%


【二、论文机构统计】
====================================================================================================
统计模式: 所有机构
总论文数: 1252
总机构数: 946

排名     机构名称                                                                   论文数        占比        
----------------------------------------------------------------------------------------------------
1      Google                                                                 87           6.95%
2      Tsinghua University                                                    76           6.07%
3      Peking University                                                      72           5.75%
4      Meta                                                                   60           4.79%
5      Chinese University of Hong Kong                                        60           4.79%
6      Massachusetts Institute of Technology                                  49           3.91%
7      Carnegie Mellon University                                             43           3.43%
8      Stanford University                                                    41           3.27%
9      New York University                                                    41           3.27%
10     Hong Kong University of Science and Technology                         40           3.19%
11     Shanghai Jiao Tong University                                          39           3.12%
12     University of California, Berkeley                                     37           2.96%
13     National University of Singapore                                       37           2.96%
14     Shanghai AI Laboratory                                                 35           2.80%
15     Nanjing University                                                     35           2.80%
16     Nanyang Technological University                                       35           2.80%
17     Chinese Academy of Sciences                                            34           2.72%
18     Amazon                                                                 32           2.56%
19     University of Hong Kong                                                31           2.48%
20     ByteDance                                                              30           2.40%
21     Fudan University                                                       30           2.40%
22     University of Science and Technology of China                          28           2.24%
23     University of Illinois Urbana-Champaign                                28           2.24%
24     Georgia Institute of Technology                                        28           2.24%
25     Zhejiang University                                                    28           2.24%
26     EPFL                                                                   27           2.16%
27     Harvard University                                                     27           2.16%
28     Alibaba Group                                                          26           2.08%
29     Harbin Institute of Technology                                         26           2.08%
30     Korea Advanced Institute of Science and Technology                     26           2.08%
31     University of Oxford                                                   25           2.00%
32     Microsoft                                                              24           1.92%
33     Yale University                                                        23           1.84%
34     University of California, San Diego                                    23           1.84%
35     Princeton University                                                   23           1.84%
36     Sun Yat-sen University                                                 22           1.76%
37     Mohamed bin Zayed University of Artificial Intelligence                21           1.68%
38     ETH Zurich                                                             21           1.68%
39     Xi'an Jiao Tong University                                             21           1.68%
40     NVIDIA                                                                 21           1.68%
41     Beihang University                                                     20           1.60%
42     Huawei                                                                 20           1.60%
43     University of Washington                                               19           1.52%
44     University of Texas at Austin                                          19           1.52%
45     University of Southern California                                      18           1.44%
46     Imperial College London                                                17           1.36%
47     University of Pennsylvania                                             17           1.36%
48     University of Chinese Academy of Sciences                              17           1.36%
49     Huazhong University of Science and Technology                          17           1.36%
50     Hong Kong Polytechnic University                                       17           1.36%
51     Purdue University                                                      16           1.28%
52     University of California, Los Angeles                                  16           1.28%
53     Tencent                                                                15           1.20%
54     Wuhan University                                                       15           1.20%
55     Cornell University                                                     15           1.20%
56     Renmin University of China                                             14           1.12%
57     Beijing University of Posts and Telecommunications                     14           1.12%
58     Technion - Israel Institute of Technology                              14           1.12%
59     University of Chicago                                                  14           1.12%
60     University of Michigan                                                 14           1.12%
61     Apple                                                                  13           1.04%
62     Columbia University                                                    13           1.04%
63     Tongji University                                                      12           0.96%
64     University College London                                              12           0.96%
65     Beijing Jiao Tong University                                           12           0.96%
66     City University of Hong Kong                                           12           0.96%
67     Southeast University                                                   12           0.96%
68     National University of Defense Technology                              12           0.96%
69     Seoul National University                                              12           0.96%
70     Australian National University                                         11           0.88%
71     Northeastern University                                                11           0.88%
72     Beijing Institute of Technology                                        11           0.88%
73     University of Electronic Science and Technology of China               11           0.88%
74     Tianjin University                                                     11           0.88%
75     Johns Hopkins University                                               11           0.88%
76     Brown University                                                       11           0.88%
77     University of British Columbia                                         11           0.88%
78     South China University of Technology                                   10           0.80%
79     Xiamen University                                                      10           0.80%
80     University of Maryland                                                 10           0.80%
81     Université de Montréal                                                 10           0.80%
82     INRIA                                                                  10           0.80%
83     International Business Machines Corporation                            10           0.80%
84     McGill University                                                      10           0.80%
85     Allen Institute for Artificial Intelligence                            9            0.72%
86     Adobe                                                                  9            0.72%
87     University of Toronto                                                  9            0.72%
88     Quebec Artificial Intelligence Institute                               9            0.72%
89     Dalian University of Technology                                        9            0.72%
90     Korea University                                                       9            0.72%
91     RIKEN                                                                  9            0.72%
92     California Institute of Technology                                     9            0.72%
93     Yonsei University                                                      9            0.72%
94     Technische Universität München                                         8            0.64%
95     Swiss Federal Institute of Technology                                  8            0.64%
96     University of Edinburgh                                                8            0.64%
97     University of Waterloo                                                 8            0.64%
98     University of Montreal                                                 8            0.64%
99     University of Wisconsin-Madison                                        8            0.64%
100    Nanjing University of Science and Technology                           8            0.64%
101    University of Tokyo                                                    8            0.64%
102    Centre National de la Recherche Scientifique                           8            0.64%
103    Tel Aviv University                                                    8            0.64%
104    Kuaishou Technology                                                    7            0.56%
105    Northwest Polytechnical University                                     7            0.56%
106    Ecole Polytechnique                                                    7            0.56%
107    Nankai University                                                      7            0.56%
108    Aalborg University                                                     7            0.56%
109    Toyota Technological Institute at Chicago                              7            0.56%
110    Hong Kong Baptist University                                           7            0.56%
111    Xidian University                                                      7            0.56%
112    Shandong University                                                    7            0.56%
113    University of Cambridge                                                7            0.56%
114    Flatiron Institute                                                     7            0.56%
115    University of New South Wales                                          7            0.56%
116    University of Melbourne                                                7            0.56%
117    Beijing Institute for General Artificial Intelligence                  6            0.48%
118    University of California, Irvine                                       6            0.48%
119    Boston University                                                      6            0.48%
120    Sichuan University                                                     6            0.48%
121    ELLIS Institute                                                        6            0.48%
122    Beijing Academy of Artificial Intelligence                             6            0.48%
123    University of Technology Sydney                                        6            0.48%
124    University of Central Florida                                          6            0.48%
125    University of California, Santa Barbara                                6            0.48%
126    University of Illinois at Chicago                                      6            0.48%
127    Monash University                                                      6            0.48%
128    King Abdullah University of Science and Technology                     6            0.48%
129    Aarhus University                                                      6            0.48%
130    Rutgers University                                                     6            0.48%
131    Chongqing University                                                   6            0.48%
132    Snap Inc.                                                              6            0.48%
133    Singapore Management University                                        6            0.48%
134    Aalto University                                                       6            0.48%
135    Max Planck Institute for Intelligent Systems                           6            0.48%
136    University of Adelaide                                                 6            0.48%
137    Baidu                                                                  6            0.48%
138    Duke University                                                        5            0.40%
139    Albert-Ludwigs-Universität Freiburg                                    5            0.40%
140    Southern University of Science and Technology                          5            0.40%
141    East China Normal University                                           5            0.40%
142    Megvii Technology                                                      5            0.40%
143    Rice University                                                        5            0.40%
144    Central South University                                               5            0.40%
145    Agency for Science, Technology and Research                            5            0.40%
146    National Technical University of Athens                                5            0.40%
147    Ecole Normale Supérieure de Paris                                      5            0.40%
148    Pohang University of Science and Technology                            5            0.40%
149    University of Alberta                                                  5            0.40%
150    Virginia Tech                                                          5            0.40%
151    Ohio State University                                                  5            0.40%
152    University of Minnesota                                                5            0.40%
153    University of Virginia                                                 5            0.40%
154    Swiss Federal Institute of Technology Lausanne                         5            0.40%
155    Eberhard Karls University of Tübingen                                  5            0.40%
156    Shanghai University of Finance and Economics                           5            0.40%
157    Technical University of Munich                                         5            0.40%
158    Indian Institute of Technology Bombay                                  5            0.40%
159    University of California, Davis                                        5            0.40%
160    University of Sydney                                                   5            0.40%
161    Singapore University of Technology and Design                          5            0.40%
162    Samsung                                                                5            0.40%
163    Sorbonne Université                                                    5            0.40%
164    Max-Planck-Gesellschaft zur Förderung der Wissenschaften e.V.          4            0.32%
165    Technische Universität Berlin                                          4            0.32%
166    Prior Labs                                                             4            0.32%
167    Technische Universität Darmstadt                                       4            0.32%
168    Independent                                                            4            0.32%
169    Eindhoven University of Technology                                     4            0.32%
170    Kyoto University                                                       4            0.32%
171    Northwestern University                                                4            0.32%
172    Ludwig-Maximilians-Universität München                                 4            0.32%
173    Hebrew University of Jerusalem                                         4            0.32%
174    Université Gustave Eiffel                                              4            0.32%
175    Texas A&M University                                                   4            0.32%
176    Institute of Science and Technology Austria                            4            0.32%
177    Kyung Hee University                                                   4            0.32%
178    Rensselaer Polytechnic Institute                                       4            0.32%
179    Westlake University                                                    4            0.32%
180    Genentech                                                              4            0.32%
181    Beijing Baichuan Intelligence Technology Co., Ltd.                     3            0.24%
182    Cohere                                                                 3            0.24%
183    Vector Institute                                                       3            0.24%
184    Ant Group                                                              3            0.24%
185    Ruprecht-Karls-Universität Heidelberg                                  3            0.24%
186    vivo                                                                   3            0.24%
187    Zhongguancun Academy                                                   3            0.24%
188    University of Texas at Arlington                                       3            0.24%
189    University of Trento                                                   3            0.24%
190    University of Stuttgart                                                3            0.24%
191    NEC Corporation                                                        3            0.24%
192    Dalian Maritime University                                             3            0.24%
193    Case Western Reserve University                                        3            0.24%
194    Pennsylvania State University                                          3            0.24%
